"ITEM_NO","DESCR","DESCR_UPR","LONG_DESCR","LONG_DESCR_UPR","SHORT_DESCR","ADDL_DESCR_1","ADDL_DESCR_2","ADDL_DESCR_3","ITEM_TYP","CATEG_COD","SUBCAT_COD","ACCT_COD","LBL_COD","ATTR_COD_1","ATTR_COD_2","ATTR_COD_3","ATTR_COD_4","ATTR_COD_5","ATTR_COD_6","TRK_METH","STAT","STAT_DAT","IS_TXBL","TAX_CATEG_COD","QTY_DECS","PRC_DECS","STK_UNIT","ITEM_VEND_NO","WEIGHT","TARE_COD","CUBE","IS_WEIGHED","ALT_1_UNIT","ALT_1_NUMER","ALT_1_DENOM","ALT_1_WEIGHT","ALT_1_CUBE","ALT_1_PRC_1","ALT_2_UNIT","ALT_2_NUMER","ALT_2_DENOM","ALT_2_WEIGHT","ALT_2_CUBE","ALT_2_PRC_1","ALT_3_UNIT","ALT_3_NUMER","ALT_3_DENOM","ALT_3_WEIGHT","ALT_3_CUBE","ALT_3_PRC_1","ALT_4_UNIT","ALT_4_NUMER","ALT_4_DENOM","ALT_4_WEIGHT","ALT_4_CUBE","ALT_4_PRC_1","ALT_5_UNIT","ALT_5_NUMER","ALT_5_DENOM","ALT_5_WEIGHT","ALT_5_CUBE","ALT_5_PRC_1","PREF_UNIT","PROMPT_FOR_PRC","PROMPT_FOR_COST","PROMPT_FOR_DESCR","WARR_PRD_1","WARR_UNIT_1","WARR_PRD_2","WARR_UNIT_2","SER_NO_REQ_FOR_SAL","SER_PROMPT_COD_1","SER_PROMPT_COD_2","SER_PROMPT_COD_3","PROF_ALPHA_1","PROF_ALPHA_2","PROF_ALPHA_3","PROF_ALPHA_4","PROF_ALPHA_5","PROF_COD_1","PROF_COD_2","PROF_COD_3","PROF_COD_4","PROF_COD_5","PROF_DAT_1","PROF_DAT_2","PROF_DAT_3","PROF_DAT_4","PROF_DAT_5","PROF_NO_1","PROF_NO_2","PROF_NO_3","PROF_NO_4","PROF_NO_5","GRID_DIM_1_TAG","GRID_DIM_2_TAG","GRID_DIM_3_TAG","GRID_DIM_1_TAG_UPR","GRID_DIM_2_TAG_UPR","GRID_DIM_3_TAG_UPR","GRID_ENT_1","GRID_ENT_2","GRID_ENT_3","CELL_BARCOD_PRE","NXT_CELL_BARCOD_NO","PRC_1","BARCOD","PS_PROMPT_COD_1","PS_PROMPT_COD_2","PS_PROMPT_COD_3","IS_ECOMM_ITEM","ECOMM_LST_PUB_DT","ECOMM_LST_PUB_STAT","ECOMM_ON_SPECL_UNTIL","ECOMM_IMG_FILE","ECOMM_TXBL_1","ECOMM_TXBL_2","ECOMM_TXBL_3","URL","ECOMM_NEW","ECOMM_NEW_UNTIL","ECOMM_ON_SPECL","ECOMM_CHRG_FRT","ECOMM_FRT_AMT","VEND_ITEM_NO","LST_COST","DFLT_COST_OF_SLS_PCT","REG_PRC","ALT_1_REG_PRC","ALT_2_REG_PRC","ALT_3_REG_PRC","ALT_4_REG_PRC","ALT_5_REG_PRC","ITEM_IS_MISC","CATEG_SUBCAT","PREF_UNIT_NAM","LST_RECV_DAT","PREF_UNIT_NUMER","PREF_UNIT_DENOM","ECOMM_ITEM_IS_DISCNTBL","IS_FOOD_STMP_ITEM","PROMPT_FOR_UNIT","PROMPT_FOR_CUSTOM_FLDS","MIX_MATCH_COD","PREF_UNIT_WEIGHT","PREF_UNIT_CUBE","PREF_UNIT_REG_PRC","PREF_UNIT_PRC_1","IS_ADM_TKT","DIM_COUNT","DIM_COD","DIM_COD_LABEL","IS_BOM_PAR","IS_KIT_PAR","COPY_FROM_ITEM_NO","BARCOD_3_OF_9","PS_LIN_CUST_FLD_FRM_ID","IS_DISCNTBL","ECOMM_DISC_ON_SAL","ECOMM_LST_CHNG_UTC_DT","ECOMM_NXT_PUB_TYP","ECOMM_PUB_STAT","RS_UTC_DT","RS_STAT","LST_MAINT_DT","LST_MAINT_USR_ID","LST_LCK_DT","ROW_TS"
"I-000015","Punch Card Discount","PUNCH CARD DISCOUNT","","","","","","","D","DISCOUNT","","RETAIL","","HARD","","","","","","N","A","","Y","DISCOUNT",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","Y","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,0,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"Y","DISCOUNT/","EACH","",1,1,"N","N","N","N","",,,,0,"N",0,"","","N","N","","",,"N","Y","","",,"5/19/2016 09:52:06.893 PM",0,"5/19/2016 03:52:12.000 PM","RCS","","0x000000000002F89F"
"I-000018","Pipe Large $15","PIPE LARGE $15","Pipe Large $15","PIPE LARGE $15","Pipe Large $15","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,15,"10000223","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3.5,,,,,,,,"N","NON THC/PIPES","EACH","6/12/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,15,"N",0,"","","N","N","","*10000223*",,"Y","Y","","",,"6/12/2017 07:16:28.607 PM",0,"7/12/2016 11:40:40.000 PM","JBARKER","","0x00000000001F79F2"
"I-000019","Fumed Pipe $20","FUMED PIPE $20","Fumed Pipe $20","FUMED PIPE $20","Fumed Pipe $20","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,20,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",9,,,,,,,,"N","NON THC/PIPES","EACH","7/28/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,20,"N",0,"","","N","N","","",,"Y","Y","","",,"7/28/2017 08:31:59.173 PM",0,"7/12/2016 11:41:10.000 PM","JBARKER","","0x00000000002487CE"
"I-000020","Bubbler Straw Titanium","BUBBLER STRAW TITANIUM","Bubbler Straw Titanium","BUBBLER STRAW TITANIUM","Bubbler Straw T","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,70,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PIPES","EACH","",1,1,"Y","N","N","N","",,,,70,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 05:41:33.560 AM",0,"7/12/2016 11:41:36.000 PM","JBARKER","","0x00000000000338FA"
"I-000021","Wood Pipe/Lid $30","WOOD PIPE/LID $30","Wood Pipe/Lid $30","WOOD PIPE/LID $30","Wood Pipe/Lid $","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PIPES","EACH","",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 05:41:56.603 AM",0,"7/12/2016 11:41:59.000 PM","JBARKER","","0x00000000000338FB"
"I-000022","Pipe $30","PIPE $30","Pipe $30","PIPE $30","Pipe $30","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",15,,,,,,,,"N","NON THC/PIPES","EACH","8/28/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"8/28/2017 10:01:03.277 PM",0,"7/12/2016 11:42:14.000 PM","JBARKER","","0x0000000000281EA3"
"I-000023","Local Pipe $40","LOCAL PIPE $40","","","Local Pipe $40","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",20,,,,,,,,"N","NON THC/PIPES","EACH","10/6/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"10/6/2017 03:59:37.563 PM",0,"7/12/2016 11:42:35.000 PM","JBARKER","","0x00000000002C2DFD"
"I-000025","Sherlock Etched $30","SHERLOCK ETCHED $30","Sherlock Etched $30","SHERLOCK ETCHED $30","Sherlock Etched","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PIPES","EACH","",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 05:42:56.470 AM",0,"7/12/2016 11:42:59.000 PM","JBARKER","","0x00000000000338FE"
"I-000026","Small Pipe $25","SMALL PIPE $25","Small Pipe $25","SMALL PIPE $25","Small Pipe $25","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",10,,,,,,,,"N","NON THC/PIPES","EACH","8/19/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",0,"","","N","N","","",,"Y","Y","","",,"8/19/2017 02:56:53.950 PM",0,"7/12/2016 11:43:19.000 PM","JBARKER","","0x000000000026EC17"
"I-000027","Sanstone Pipe $30","SANSTONE PIPE $30","Sanstone Pipe $30","SANSTONE PIPE $30","Sanstone Pipe $","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PIPES","EACH","",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 05:43:34.530 AM",0,"7/12/2016 11:43:37.000 PM","JBARKER","","0x0000000000033901"
"I-000028","Medium Sherlock $25","MEDIUM SHERLOCK $25","Medium Sherlock $25","MEDIUM SHERLOCK $25","Medium Sherlock","","","","I","NON THC","PIPES","RETAIL","","HARD","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",7.5,,,,,,,,"N","NON THC/PIPES","EACH","8/1/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",0,"","","N","N","","",,"Y","Y","","",,"8/1/2017 03:23:59.033 PM",0,"8/1/2017 08:56:20.000 AM","RACHEL","","0x00000000002501E1"
"I-000029","Small Pipe Etched $25","SMALL PIPE ETCHED $25","Small Pipe Etched","SMALL PIPE ETCHED","Small Pipe Etch","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12,,,,,,,,"N","NON THC/PIPES","EACH","11/1/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",0,"","","N","N","","",,"Y","Y","","",,"11/1/2017 05:35:37.977 PM",0,"4/19/2017 01:25:54.000 PM","RACHEL","","0x00000000002EA91B"
"I-000030","Dab Straw $30","DAB STRAW $30","Dab Straw $30","DAB STRAW $30","Dab Straw $30","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",15,,,,,,,,"N","NON THC/PIPES","EACH","10/12/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"10/12/2017 05:44:12.863 PM",0,"7/12/2016 11:44:29.000 PM","JBARKER","","0x00000000002CCA94"
"I-000031","Local Pipe $30","LOCAL PIPE $30","Local Pipe $30","LOCAL PIPE $30","Local Pipe $30","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12,,,,,,,,"N","NON THC/PIPES","EACH","10/12/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"10/12/2017 05:44:13.000 PM",0,"7/12/2016 11:44:43.000 PM","JBARKER","","0x00000000002CCA95"
"I-000032","Dab Straw Etched $20","DAB STRAW ETCHED $20","Dab Straw Etched $30","DAB STRAW ETCHED $30","Dab Straw Etche","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,20,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12,,,,,,,,"N","NON THC/PIPES","EACH","11/1/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,20,"N",0,"","","N","N","","",,"Y","Y","","",,"11/1/2017 05:35:37.860 PM",0,"7/26/2016 01:21:54.000 PM","MAX","","0x00000000002EA91C"
"I-000033","Sanstone Pipe $20","SANSTONE PIPE $20","Sanstone Pipe $20","SANSTONE PIPE $20","Sanstone Pipe $","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,20,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PIPES","EACH","",1,1,"Y","N","N","N","",,,,20,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 08:23:40.430 PM",0,"7/13/2016 02:23:43.000 PM","ROB","","0x0000000000035AC6"
"I-000034","Sweatshirt","SWEATSHIRT","Sweatshirt","SWEATSHIRT","Sweatshirt","","","","I","NON THC","CLOTHING","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/CLOTHING","EACH","",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 08:23:44.793 PM",0,"7/13/2016 02:23:47.000 PM","ROB","","0x0000000000035AC7"
"I-000036","Hemp hoodland jacket kids","HEMP HOODLAND JACKET KIDS","Hemp hoodland jacket kids","HEMP HOODLAND JACKET KIDS","Hoodland kids","","","","I","NON THC","CLOTHING","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,50,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/CLOTHING","EACH","",1,1,"Y","N","N","N","",,,,50,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 08:23:51.640 PM",0,"7/13/2016 02:23:54.000 PM","ROB","","0x0000000000035AC8"
"I-000037","Beanies","BEANIES","Beanies","BEANIES","Beanies","","","","I","NON THC","CLOTHING","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,8,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3,,,,,,,,"N","NON THC/CLOTHING","EACH","8/17/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,8,"N",0,"","","N","N","","",,"Y","Y","","",,"8/17/2016 10:54:36.203 PM",0,"7/13/2016 02:24:06.000 PM","ROB","","0x000000000005FDE9"
"I-000039","Furry Hoodie","FURRY HOODIE","Furry Hoodie Hemp Hoodlanb","FURRY HOODIE HEMP HOODLANB","Furry Hoodie","","","","I","NON THC","CLOTHING","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,100,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/CLOTHING","EACH","",1,1,"Y","N","N","N","",,,,100,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 08:24:07.640 PM",0,"7/13/2016 02:24:10.000 PM","ROB","","0x0000000000035ACA"
"I-000040","Chiefton Jacket","CHIEFTON JACKET","","","","","","","I","NON THC","CLOTHING","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",15,,,,,,,,"N","NON THC/CLOTHING","EACH","8/18/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"8/18/2016 10:21:28.743 PM",0,"7/13/2016 02:24:15.000 PM","ROB","","0x00000000000621DE"
"I-000041","Pokers $8","POKERS $8","Pokers $5","POKERS $5","Pokers $5","","","","I","NON THC","MISC","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,8,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3,,,,,,,,"N","NON THC/MISC","EACH","7/29/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,8,"N",0,"","","N","N","","",,"Y","Y","","",,"7/29/2017 09:10:34.607 PM",0,"7/29/2017 03:07:52.000 PM","RACHEL","","0x000000000024B039"
"I-000042","Hat Flat Brim","HAT FLAT BRIM","Hat Flat Brim","HAT FLAT BRIM","Hat Flat Brim","","","","I","NON THC","CLOTHING","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,20,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",9,,,,,,,,"N","NON THC/CLOTHING","EACH","10/19/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,20,"N",0,"","","N","N","","",,"Y","Y","","",,"10/19/2017 05:51:42.267 PM",0,"7/13/2016 02:24:22.000 PM","ROB","","0x00000000002D8484"
"I-000044","Firefly Port Vape","FIREFLY PORT VAPE","Firefly Port Vape","FIREFLY PORT VAPE","Firefly Port Va","","","","I","NON THC","VAPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,200,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/VAPES","EACH","",1,1,"Y","N","N","N","",,,,200,"N",0,"","","N","N","","",,"Y","Y","","",,"10/3/2017 09:39:20.143 PM",0,"10/3/2017 03:39:21.000 PM","RACHEL","","0x00000000002BEB22"
"I-000045","OCB Premiums","OCB PREMIUMS","OCB Premiums","OCB PREMIUMS","OCB Premiums","","","","I","NON THC","PAPERS","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,2,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0.79,,,,,,,,"N","NON THC/PAPERS","EACH","5/23/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,2,"N",0,"","","N","N","","",,"Y","Y","","",,"5/23/2017 09:01:17.967 PM",0,"7/13/2016 02:24:29.000 PM","ROB","","0x00000000001D635C"
"I-000046","Pax 2 Vape $230","PAX 2 VAPE $230","Pax Vape $250","PAX VAPE $250","Pax Vape $250","","","","I","NON THC","VAPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,230,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",132.14,,,,,,,,"N","NON THC/VAPES","EACH","7/22/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,230,"N",0,"","","N","N","","",,"Y","Y","","",,"7/22/2017 06:01:42.073 PM",0,"7/22/2017 12:01:43.000 PM","RACHEL","","0x000000000023DBAD"
"I-000047","OCB Papers","OCB PAPERS","OCB Papers","OCB PAPERS","OCB Papers","","","","I","NON THC","PAPERS","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,1,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0.69,,,,,,,,"N","NON THC/PAPERS","EACH","12/1/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,1,"N",0,"","","N","N","","",,"Y","Y","","",,"12/1/2016 10:19:02.977 PM",0,"7/13/2016 02:24:39.000 PM","ROB","","0x00000000000F1C58"
"I-000048","Quick Draw 300","QUICK DRAW 300","Quick Draw $300","QUICK DRAW $300","Quick Draw $300","","","","I","NON THC","VAPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,130,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",60,,,,,,,,"N","NON THC/VAPES","EACH","4/5/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,130,"N",0,"","","N","N","","",,"Y","Y","","",,"4/5/2017 05:42:03.830 PM",0,"7/13/2016 02:24:48.000 PM","ROB","","0x0000000000189602"
"I-000049","Pure Hemp Green","PURE HEMP GREEN","Pure Hemp Green","PURE HEMP GREEN","Pure Hemp Green","","","","I","NON THC","PAPERS","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,2,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0.75,,,,,,,,"N","NON THC/PAPERS","EACH","8/19/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,2,"N",0,"","","N","N","","",,"Y","Y","","",,"8/19/2016 09:35:14.317 PM",0,"7/13/2016 01:05:19.000 PM","ROB","","0x000000000006377B"
"I-000050","Pure Hemp Unbleached","PURE HEMP UNBLEACHED","Pure Hemp Unbleached","PURE HEMP UNBLEACHED","Pure Hemp Unble","","","","I","NON THC","PAPERS","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,2,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PAPERS","EACH","",1,1,"Y","N","N","N","",,,,2,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 07:05:11.350 PM",0,"7/13/2016 01:05:14.000 PM","ROB","","0x0000000000035336"
"I-000052","O.Pen Battery","O.PEN BATTERY","O'Pen Battery","O'PEN BATTERY","O'Pen Battery","","","","I","NON THC","MISC","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,20,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",6.5,,,,,,,,"N","NON THC/MISC","EACH","10/6/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,20,"N",0,"","","N","N","","",,"Y","Y","","",,"10/6/2016 07:45:13.837 PM",0,"7/13/2016 01:05:06.000 PM","ROB","","0x00000000000AE5E0"
